Id,pcode,rate
15b,MLI-00952,2
15b,MSC-71049,2
15b,NOW-01841,1
15b,NWY-41091,3
15b,SOL-02058,4
15b,DRB-00025,5
15b,DRB-00087,3
15b,DRB-00263,1
15b,MSF-71702,1
15b,CGN-00965,3
16b,CGN-01032,5
16b,CGN-01033,4
16b,DRB-00154,3
16b,NOW-00474,2
16b,NWY-15685,4
16b,CGN-00963,5
16b,CGN-00964,3
16b,DRB-00358,5
16b,NOW-04777,4
16b,NTL-05396,4
16b,SRE-01050,3
17b,SOL-01442,2
17b,NOW-00372,4
17b,NOW-00376,5
17b,CGN-01034,3
17b,CGN-01065,5
17b,DRB-00373,4
17b,NOW-00112,3
18b,CDL-10200,5
18b,CEN-28024,3
18b,CGN-00931,4
18b,CGN-00932,5
18b,CGN-01097,3
19b,CGN-01097,2
19b,CGN-01330,4
19b,JRW-13008,5
19b,MLI-00952,3
19b,MSC-71049,4
19b,NOW-01841,5
19b,NWY-41091,3
19b,SOL-02058,5
19b,DRB-00025,4
19b,DRB-00087,3
19b,DRB-00263,5
19b,MSF-71702,4
19b,CGN-00965,2
19b,CGN-01032,3
20b,SOL-02058,5
20b,DRB-00025,4
20b,DRB-00087,2
20b,DRB-00263,3
20b,MSF-71702,5
20b,CGN-00965,4
20b,CGN-01032,1
20b,CGN-01033,3
20b,DRB-00154,2
20b,NOW-00474,1
20b,NWY-15685,3
20b,CGN-00963,4
20b,CGN-00964,5
20b,DRB-00358,5
20b,NOW-04777,1
21b,SOL-01442,2
21b,NOW-00372,3
21b,NOW-00376,1
21b,CGN-01034,3
21b,CGN-01065,3
21b,DRB-00373,2
21b,NOW-00112,5
21b,CDL-10200,1
21b,CEN-28024,3
21b,CGN-00931,5
21b,CGN-00932,4
21b,CGN-01097,2
22b,JRW-13008,3
22b,MLI-00952,2
22b,MSC-71049,1
22b,NOW-01841,4
22b,NWY-41091,5
22b,SOL-02058,4
22b,DRB-00025,5
22b,DRB-00087,4
22b,DRB-00263,2
22b,MSF-71702,3
22b,CGN-00965,2
22b,CGN-01032,3
22b,CGN-01033,4
22b,DRB-00154,5
23b,CGN-01032,5
23b,CGN-01033,4
23b,DRB-00154,4
23b,NOW-00474,2
23b,NWY-15685,3
23b,CGN-00963,2
23b,CGN-00964,1
23b,DRB-00358,3
23b,NOW-04777,2
23b,NTL-05396,5
23b,SRE-01050,4
23b,NOW-00077,1
23b,LEX-23141,1
24b,CGN-01065,3
24b,DRB-00373,5
24b,NOW-00112,5
24b,CDL-10200,4
24b,CEN-28024,3
24b,CGN-00931,2
24b,CGN-00932,2
24b,CGN-01097,4
24b,CGN-01330,5
24b,JRW-13008,4
24b,MLI-00952,3
24b,MSC-71049,2
25b,DRB-00087,5
25b,DRB-00263,1
25b,MSF-71702,1
25b,CGN-00965,4
25b,CGN-01032,5
26b,CGN-01065,5
26b,NWY-41091,5
26b,CDL-10200,4
26b,NOW-00372,3
26b,MLI-00952,4
26b,JRW-13008,3
26b,CGN-01034,4
26b,CGN-01097,3
27b,CGN-01330,5
27b,CGN-00932,5
27b,NOW-01841,5
27b,CGN-01033,3
27b,DRB-00087,4
27b,NWY-15685,5
27b,BLB-00683,5
27b,LEX-23141,4
27b,NWY-15685,3
27b,BLB-00683,3
27b,LEX-23141,3
28b,CGN-00965,4
28b,SOL-01442,5
28b,SOL-02058,4
28b,DRB-00358,5
28b,CGN-01032,3
28b,DRB-00154,4
28b,SRE-01050,4
28b,MSC-71049,3
28b,MSF-71702,5
29b,DRB-00025,4
29b,NTL-05396,2
29b,CGN-00963,1
29b,NOW-00077,2
29b,NOW-04777,1
29b,DRB-00263,2
29b,NOW-00112,4
29b,DRB-00373,5
29b,CGN-01330,3
29b,CGN-00932,2
29b,NOW-01841,1
29b,CGN-01033,4
29b,DRB-00087,5
29b,MSF-71702,4
30b,CEN-28024,2
30b,CGN-00964,4
30b,CGN-00931,5
30b,CGN-01065,5
30b,NWY-41091,4
30b,CDL-10200,5
30b,NOW-00372,4
30b,MLI-00952,5
30b,JRW-13008,5
30b,CGN-01034,2
30b,CGN-01097,3
30b,NOW-00376,3
30b,NOW-00474,1
30b,DRB-00025,1
30b,NTL-05396,5
30b,DRB-00373,4
30b,CGN-01330,2
31b,NOW-00376,4
31b,NOW-00474,5
31b,DRB-00025,2
31b,NTL-05396,3
31b,CGN-00963,2
31b,NOW-00077,1
31b,NOW-04777,2
31b,DRB-00263,3
31b,NOW-00112,5
31b,DRB-00373,1
31b,CGN-01330,4
31b,CGN-00932,5
31b,NOW-01841,1
31b,CGN-01033,1
31b,DRB-00087,1
31b,NWY-15685,1
31b,BLB-00683,1
32b,CGN-01033,1
32b,DRB-00087,1
32b,NWY-15685,3
32b,BLB-00683,2
32b,LEX-23141,5
32b,CGN-00965,4
32b,SOL-01442,3
32b,CGN-00931,2
32b,CGN-01065,5
32b,NWY-41091,5
32b,CDL-10200,5
32b,NOW-00372,5
33b,CEN-28024,3
33b,CGN-00964,4
33b,CGN-00931,3
33b,CGN-01065,4
33b,NWY-41091,3
33b,CDL-10200,4
33b,CGN-01033,5
34b,CGN-00963,3
34b,NOW-00077,5
34b,NOW-04777,4
34b,DRB-00263,3
34b,NOW-00112,2
34b,DRB-00373,3
34b,CGN-01330,4
34b,CGN-00932,5
34b,NOW-01841,5
34b,CGN-01033,5
34b,DRB-00087,4
35b,CEN-28024,5
35b,CGN-00964,4
35b,CGN-00931,5
35b,CGN-01065,4
35b,NWY-41091,5
35b,CDL-10200,5
35b,NOW-00112,5
35b,DRB-00373,3
35b,CGN-01330,4
35b,CGN-00932,3
35b,NOW-01841,2
35b,CGN-01033,4
35b,DRB-00087,3
35b,NWY-15685,4
36b,NOW-00474,4
36b,DRB-00025,4
36b,NTL-05396,4
36b,CGN-00963,4
36b,NOW-00077,4
36b,NOW-04777,4
36b,DRB-00263,4
36b,NOW-00112,4
36b,DRB-00373,3
36b,CGN-01330,5
36b,CGN-00932,4
36b,NOW-01841,3
37b,DRB-00358,5
37b,CGN-01032,4
37b,DRB-00154,3
37b,SRE-01050,5
37b,MSC-71049,5
37b,MSF-71702,5
37b,DRB-00025,5
37b,NTL-05396,4
38b,CGN-00963,3
38b,NOW-00077,3
38b,NOW-04777,5
38b,DRB-00263,4
39b,NOW-01841,5
39b,CGN-01033,3
39b,DRB-00087,3
39b,NWY-15685,4
39b,BLB-00683,4
39b,LEX-23141,4
39b,CGN-00965,4
39b,SOL-01442,4
40b,CGN-00931,4
40b,CGN-01065,5
40b,NWY-41091,3
40b,CDL-10200,5
40b,NOW-00372,4
40b,MLI-00952,3
40b,JRW-13008,2
40b,CGN-01034,4
40b,CGN-01097,5
40b,CGN-00963,5
40b,NOW-00077,4
41b,DRB-00373,5
41b,CGN-01330,5
41b,CGN-00932,4
41b,NOW-01841,3
41b,CGN-01033,3
41b,DRB-00087,4
41b,NWY-15685,5
41b,BLB-00683,3
41b,MLI-00952,5
42b,CEN-28024,5
42b,CGN-00964,3
42b,CGN-00931,4
42b,CGN-01065,5
42b,NWY-41091,3
42b,CDL-10200,3
42b,NOW-00372,4
42b,MLI-00952,5
42b,JRW-13008,4
42b,CGN-01034,5
42b,CGN-01097,5
42b,NOW-00376,4
42b,NOW-00474,3
43b,CGN-00963,1
43b,NOW-00077,5
43b,NOW-04777,4
43b,DRB-00263,3
43b,NOW-00112,2
43b,DRB-00373,5
43b,CGN-01330,1
43b,JRW-13008,2
43b,CGN-01034,3
43b,CGN-01097,4
43b,NOW-00376,1
43b,NOW-00474,2
43b,SOL-02058,3
44b,CDL-10200,5
44b,NOW-00372,4
44b,MLI-00952,2
44b,JRW-13008,1
44b,CGN-01034,5
44b,CGN-01097,5
44b,NOW-00376,3
44b,NOW-00474,3
44b,DRB-00025,4
44b,NTL-05396,4
44b,CGN-00963,4
44b,NOW-00077,5
44b,NOW-04777,3
44b,DRB-00263,4
45b,CGN-00931,5
45b,CGN-01065,3
45b,NWY-41091,2
45b,CDL-10200,5
45b,NOW-00372,3
45b,MLI-00952,5
45b,JRW-13008,3
45b,NOW-04777,4
45b,DRB-00263,5
46b,BLB-00683,3
46b,LEX-23141,5
46b,CGN-00965,4
46b,SOL-01442,3
46b,SOL-02058,2
46b,DRB-00358,1
46b,CGN-01032,3
46b,DRB-00154,4
46b,SRE-01050,1
46b,MSC-71049,1
46b,MSF-71702,5
46b,NOW-00474,4
47b,CGN-00931,3
47b,CGN-01065,1
47b,NWY-41091,4
47b,CDL-10200,5
47b,CGN-01034,4
47b,CGN-01097,3
48b,CGN-01065,3
48b,NWY-41091,3
48b,CDL-10200,3
48b,NOW-00372,4
48b,MLI-00952,5
48b,JRW-13008,4
48b,CGN-01034,3
48b,DRB-00263,5
48b,NOW-00112,4
48b,DRB-00373,5
48b,CGN-01330,5
49b,MLI-00952,5
49b,JRW-13008,5
49b,CGN-01034,5
49b,CGN-01097,3
49b,NOW-00376,3
50b,CGN-00963,3
50b,NOW-00077,3
50b,NOW-04777,2
50b,DRB-00263,2
50b,NOW-00112,4
50b,DRB-00373,5
50b,CGN-01033,4
51b,BLB-00683,5
51b,LEX-23141,4
51b,NOW-00077,2
51b,CGN-00964,3
51b,NTL-05396,2
51b,CGN-00963,1
51b,NOW-04777,1
51b,DRB-00358,2
51b,SRE-01050,3
51b,NOW-00474,4
51b,MSF-71702,5
51b,CEN-28024,3
52b,CGN-01330,5
52b,CGN-00932,4
52b,NOW-01841,2
52b,SOL-02058,5
52b,MSC-71049,4
52b,CGN-01065,2
52b,CGN-01034,3
52b,NOW-00112,2
52b,DRB-00373,1
52b,NOW-00372,4
52b,NOW-00376,1
52b,SRE-01050,4
53b,CGN-00964,5
53b,NTL-05396,4
53b,CGN-00963,4
53b,NOW-04777,5
53b,DRB-00358,5
53b,SRE-01050,3
53b,NOW-00474,3
53b,CGN-01033,2
53b,NWY-15685,1
54b,LEX-23141,4
54b,NOW-00077,5
54b,CGN-00964,3
54b,NTL-05396,2
54b,CGN-00963,4
54b,NOW-04777,5
54b,DRB-00025,3
55b,NOW-01841,1
55b,SOL-02058,2
55b,MSC-71049,3
55b,CGN-01065,5
55b,CGN-01034,4
55b,NOW-00112,5
55b,DRB-00373,3
56b,CGN-00964,2
56b,NTL-05396,1
56b,CGN-00963,4
56b,NOW-04777,5
56b,DRB-00358,3
56b,SRE-01050,4
56b,NOW-00474,1
56b,CGN-01033,5
56b,NWY-15685,3
56b,CGN-00965,4
57b,DRB-00154,5
57b,DRB-00025,1
57b,DRB-00263,2
57b,DRB-00087,3
57b,CGN-00931,4
57b,NWY-41091,5
58b,CGN-01097,1
58b,CGN-01330,2
58b,CGN-00932,3
58b,NOW-01841,4
58b,SOL-02058,5
58b,MSC-71049,4
58b,CGN-01065,5
58b,CGN-01034,4
59b,CGN-00963,5
59b,NOW-04777,4
59b,DRB-00358,5
59b,SRE-01050,4
59b,NOW-00474,3
59b,CGN-01033,2
59b,NWY-15685,4
59b,CGN-00965,5
59b,CGN-01032,4
59b,DRB-00154,5
60b,BLB-00683,3
60b,LEX-23141,5
60b,NOW-00077,5
60b,CGN-00964,4
60b,NTL-05396,5
60b,CGN-00963,5
60b,NOW-04777,3
61b,NOW-00474,5
61b,CGN-01033,4
61b,NWY-15685,5
61b,CGN-00965,3
61b,CGN-01032,4
61b,DRB-00154,5
61b,DRB-00025,3
61b,DRB-00263,2
61b,DRB-00087,4
61b,MSF-71702,5
61b,CEN-28024,1
61b,CGN-00931,1
61b,NWY-41091,1
62b,NTL-05396,1
62b,CGN-00963,4
62b,NOW-04777,4
62b,DRB-00358,4
62b,SRE-01050,3
62b,NOW-00474,3
62b,CGN-01033,5
62b,NWY-15685,5
62b,CGN-00965,1
62b,CGN-01032,4
62b,DRB-00154,5
62b,DRB-00025,4
62b,DRB-00263,5
62b,DRB-00087,3
62b,MSF-71702,3
62b,CEN-28024,3
62b,CGN-00931,2
63b,MLI-00952,4
63b,JRW-13008,5
63b,CGN-01097,4
63b,CGN-01330,5
63b,CGN-00932,3
63b,CGN-01065,2
63b,CGN-01034,4
63b,NOW-00112,5
64b,DRB-00373,3
64b,NOW-00372,2
65b,CGN-00965,5
65b,CGN-01032,4
65b,DRB-00154,3
65b,DRB-00025,4
65b,DRB-00263,5
65b,DRB-00087,4
65b,MSF-71702,5
65b,CEN-28024,3
65b,CGN-00931,2
66b,LEX-23141,5
66b,NOW-00077,4
66b,CGN-00964,5
66b,NTL-05396,4
66b,CGN-00963,5
66b,NOW-04777,3
66b,DRB-00358,5
66b,SRE-01050,2
67b,DRB-00263,5
67b,DRB-00087,4
67b,MSF-71702,3
67b,CEN-28024,5
67b,CGN-00931,5
67b,NWY-41091,4
67b,CGN-00932,5
67b,NOW-01841,3
67b,SOL-02058,4
67b,MSC-71049,3
67b,CGN-01065,5
68b,NTL-05396,4
68b,CGN-00963,4
68b,NOW-04777,3
68b,DRB-00358,2
68b,SRE-01050,4
68b,NOW-00474,4
68b,CGN-01033,4
68b,NWY-15685,5
68b,CGN-00965,3
69b,LEX-23141,4
69b,NOW-00077,3
69b,CGN-00964,5
69b,NTL-05396,5
69b,CGN-00963,3
69b,NOW-04777,4
69b,DRB-00358,2
69b,SRE-01050,2
69b,NOW-00474,1
69b,CGN-01033,3
69b,NWY-15685,4
69b,CGN-00965,5
69b,CGN-01032,3
69b,DRB-00154,1
69b,DRB-00025,1
69b,DRB-00263,3
69b,DRB-00087,5
69b,MSF-71702,4
70b,DRB-00263,3
70b,DRB-00087,2
70b,MSF-71702,4
70b,CEN-28024,5
70b,CGN-00931,3
70b,NWY-41091,5
70b,CDL-10200,4
70b,MLI-00952,4
71b,MSC-71049,3
71b,CGN-01065,2
71b,CGN-01034,4
71b,NOW-00112,5
71b,DRB-00373,3
71b,NOW-00372,5
71b,NWY-41091,4
71b,CDL-10200,3
71b,MLI-00952,5
72b,BLB-00683,3
72b,LEX-23141,4
72b,NOW-00077,5
72b,CGN-00964,3
72b,NTL-05396,2
72b,CGN-00963,4
72b,NOW-04777,5
72b,DRB-00358,3
72b,SRE-01050,4
72b,NOW-00474,5
72b,CGN-01033,3
73b,CGN-01033,5
73b,NWY-15685,4
73b,CGN-00965,3
73b,CGN-01032,5
73b,DRB-00154,4
73b,DRB-00025,3
74b,MLI-00952,5
74b,JRW-13008,4
74b,CGN-01097,4
74b,CGN-01330,3
74b,CGN-00932,2
74b,NOW-01841,4
75b,LEX-23141,4
75b,NOW-00077,4
75b,CGN-00964,5
75b,NTL-05396,3
75b,CGN-00963,4
75b,NOW-04777,3
75b,DRB-00358,5
75b,SRE-01050,5
75b,NOW-00474,3
75b,CGN-01033,4
76b,SRE-01050,2
76b,NOW-00474,2
76b,CGN-01033,1
76b,NWY-15685,3
76b,CGN-00965,4
76b,CGN-01032,5
76b,DRB-00154,3
76b,DRB-00025,1
76b,DRB-00263,1
76b,DRB-00087,3
77b,CEN-28024,5
77b,CGN-00931,4
77b,NWY-41091,3
77b,CDL-10200,2
77b,MLI-00952,4
77b,JRW-13008,5
77b,CGN-01097,3
77b,SRE-01050,5
78b,DRB-00263,4
78b,DRB-00087,4
78b,MSF-71702,3
78b,CEN-28024,2
78b,CGN-00931,4
78b,NWY-41091,5
78b,CDL-10200,3
78b,CGN-00932,5
78b,NOW-01841,4
78b,SOL-02058,3
78b,MSC-71049,5
78b,CGN-01065,3
78b,LEX-23141,4
79b,SOL-02058,5
79b,MSC-71049,3
79b,CGN-01065,2
79b,CGN-01034,4
79b,NOW-00112,5
79b,DRB-00373,3
79b,NOW-00372,4
79b,NOW-00376,5
79b,SOL-01442,3
80b,CGN-01032,5
80b,DRB-00154,4
80b,DRB-00025,3
80b,DRB-00263,5
81b,DRB-00025,4
81b,DRB-00263,3
81b,DRB-00087,5
81b,MSF-71702,4
81b,CEN-28024,4
81b,CGN-00931,3
82b,MLI-00952,2
82b,JRW-13008,4
82b,CGN-01097,4
82b,CGN-01330,4
82b,CGN-00932,5
82b,NOW-01841,3
82b,BLB-00683,4
82b,LEX-23141,3
82b,NOW-00077,5
82b,CGN-00964,5
82b,NTL-05396,3
82b,CGN-00963,4
82b,NOW-04777,2
82b,DRB-00358,2
82b,SRE-01050,1
83b,DRB-00154,3
83b,DRB-00025,4
83b,DRB-00263,5
83b,DRB-00087,3
83b,MSF-71702,1
83b,CEN-28024,1
83b,CGN-00931,3
84b,NOW-04777,5
84b,DRB-00358,4
84b,SRE-01050,3
84b,JRW-13008,2
85b,MSF-71702,4
85b,CEN-28024,5
85b,CGN-00931,3
85b,NWY-41091,5
85b,CDL-10200,4
85b,MLI-00952,4
85b,JRW-13008,3
85b,CGN-01097,2
85b,CGN-01330,4
85b,CGN-00932,5
86b,CGN-00963,3
86b,NOW-04777,5
86b,DRB-00358,4
86b,SRE-01050,3
86b,NWY-15685,5
86b,CGN-00965,3
86b,CGN-01032,4
86b,DRB-00154,5
86b,DRB-00025,3
87b,NOW-04777,2
87b,DRB-00358,4
87b,SRE-01050,5
87b,NOW-00474,3
87b,MSC-71049,4
87b,CGN-01065,5
88b,MSC-71049,3
88b,CGN-01065,5
88b,CGN-01034,4
88b,NOW-00112,3
88b,DRB-00373,5
88b,NOW-00372,4
88b,CGN-01032,3
88b,DRB-00154,5
89b,CGN-00931,4
89b,NWY-41091,4
89b,CDL-10200,3
89b,MLI-00952,2
89b,JRW-13008,4
89b,CGN-01097,4
89b,CGN-01330,4
90b,CGN-01032,5
90b,DRB-00154,3
90b,DRB-00025,4
90b,DRB-00263,3
90b,DRB-00087,5
90b,NWY-41091,5
91b,MLI-00952,3
91b,JRW-13008,4
91b,CGN-01097,2
91b,CGN-01330,2
91b,CGN-00932,1
91b,NOW-01841,3
91b,SOL-02058,4
91b,MSC-71049,5
92b,CGN-00965,3
92b,CGN-01032,1
92b,DRB-00154,1
92b,DRB-00025,3
92b,DRB-00263,5
92b,CGN-00932,4
92b,NOW-01841,3
92b,SOL-02058,2
93b,CGN-01032,4
93b,DRB-00154,5
93b,DRB-00025,3
93b,CGN-00932,5
93b,NOW-01841,4
93b,SOL-02058,4
94b,CGN-01032,3
94b,DRB-00154,2
94b,DRB-00025,4
94b,DRB-00263,5
94b,DRB-00087,3
94b,MSF-71702,5
94b,CGN-00932,4
94b,NOW-01841,3
94b,SOL-02058,5
95b,NOW-00077,3
95b,CGN-00964,4
95b,NTL-05396,5
95b,CGN-00963,3
95b,NOW-04777,2
95b,DRB-00087,4
95b,MSF-71702,5
95b,CEN-28024,3
95b,CGN-00931,4
96b,CGN-00964,5
96b,NTL-05396,3
96b,CGN-00963,5
96b,NOW-04777,4
96b,DRB-00154,3
96b,DRB-00025,5
96b,DRB-00263,4
97b,NWY-41091,3
97b,CDL-10200,2
97b,MLI-00952,5
97b,JRW-13008,3
97b,CGN-01097,5
97b,LEX-23141,4
97b,NOW-00077,3
97b,CGN-00964,5
97b,NTL-05396,4
98b,NWY-15685,5
98b,CGN-00965,3
98b,CGN-01032,5
98b,DRB-00154,4
98b,DRB-00025,5
98b,DRB-00263,5
99b,NOW-04777,4
99b,DRB-00358,4
99b,SRE-01050,5
99b,CGN-00931,4
1c,NWY-41091,5
1c,CDL-10200,3
1c,MLI-00952,3
1c,JRW-13008,5
1c,CGN-01097,4
1c,CGN-01330,5
1c,CGN-00932,4
1c,NOW-01841,5
2c,CGN-00965,4
2c,CGN-01032,3
2c,DRB-00154,5
2c,DRB-00025,4
2c,DRB-00263,5
3c,CGN-00931,3
3c,NWY-41091,5
3c,CDL-10200,4
3c,MLI-00952,5
3c,JRW-13008,4
3c,CGN-01097,5
4c,CGN-00964,4
4c,NTL-05396,5
4c,CGN-00963,4
4c,NOW-04777,2
4c,DRB-00358,3
4c,SRE-01050,3
5c,CEN-28024,3
5c,CGN-00931,3
5c,NWY-41091,3
5c,CDL-10200,5
5c,MLI-00952,4
5c,JRW-13008,5
5c,CGN-01097,4
6c,NWY-41091,5
6c,CDL-10200,4
6c,MLI-00952,3
6c,JRW-13008,5
6c,CGN-01097,3
6c,CGN-01330,3
6c,CGN-00932,3
6c,NOW-01841,3
7c,SOL-02058,5
7c,MSC-71049,4
7c,CGN-01065,5
7c,CGN-01034,3
7c,NOW-00112,5
7c,DRB-00373,4
7c,NOW-00372,5
7c,NOW-00376,5
8c,SOL-01442,5
